Comment,Designator,Footprint,LCSC
3.3u,C2702,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,C2798037
OPA4991,"U301,U401,U501,U701,U901,U902",SOIC-14_3.9x8.7mm_P1.27mm,C2860973
3906 BEC,"Q201,Q202,Q901,Q902",SOT-23_Handsoldering,C2891809
1K,"R1220,R1221,R1305,R1306,R1608,R1611,R1709,R1710,R1809,R1810,R1908,R1911,R2009,R2010,R207,R2109,R2110,R220,R2206,R2313,R2314,R2315,R2318,R2319,R2320,R2321,R2324,R2325,R2401,R2402,R2411,R2412,R2513,R2514,R2605,R2611,R2702,R2704,R311,R312,R411,R412,R511,R512,R622,R703,R704,R707,R708,R801,R802,R803,R804,R906,R913,R914,R925,R926,R928",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C2907002
20K,"R2203,R2207,R2208,R2604,R2609,R2610,R317,R318,R417,R418,R517,R518",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C2907011
22K,R612,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C2907015
270K,R1216,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C2907019
2K,"R1311,R1312",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C2907022
30K,"R201,R206,R210,R222,R627,R905,R917",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C2907025
470K,"R1609,R1909",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C2907040
68K,"R1309,R1310",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C2907063
24K,R2204,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C2930081
10M,R1219,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C2930145
10u,"C2207,C2807,C2808",CP_Elec_4x5.4,C294524
G2RL-2-DC5,"RL2401,RL2402",Relay_Fujitsu_FTR-B3S,C2961043
2.1V Zener,"D604,D605",D_SOD-123,C2992021
220p,"C602,C605,C608,C614",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C307359
140K,"R1601,R1602,R1605,R1606,R1901,R1902,R1905,R1906",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C321721
10,"R2805,R2806",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C323549
2.2K,"R2505,R2507,R2509,R2511",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C328351
2.7K,R1214,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C328353
330K,"R2201,R624",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C328354
680,"R209,R221,R908,R916",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C328372
6.8K,"R2506,R2508,R2510,R2512",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C328374
1.2n,"C1208,C1209,C603,C604,C607,C610",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C342931
L78L05_SOT89,"U1303,U2203,U2801",SOT-89-3,C347258
5.6K,"R1408,R1508,R706",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C365194
JK-NSMD012,F2801,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C369155
10u,"C1413,C1513",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C380314
4.7u,"C2201,C2209",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C380325
100n,"C2901,C2905",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C38141
3.9n,"C1402,C1502",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C415537
TL972,"U1302,U202,U2701,U2802,U702",SOIC-8_3.9x4.9mm_P1.27mm,C46127
100n,"C1210,C1211,C1305,C1307,C1412,C1512,C1605,C1705,C1805,C1905,C2005,C206,C207,C209,C2105,C2203,C2205,C2309,C2403,C2404,C2511,C2604,C2704,C2815,C2909,C2910,C2911,C2912,C305,C306,C405,C406,C505,C506,C612,C613,C615,C616,C701,C702,C805,C806,C907,C908,C909",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C497032
1u,C2701,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,C511013
100K,"RV201,RV204,RV901,RV903",Potentiometer_Bourns_3314J_Vertical,C51284
7V Zener,D1206,D_SOD-323_HandSoldering,C5190173
100n,"C1206,C1405,C1406,C1505,C1506,C2208,C2304,C2305,C2306,C2307,C2401,C2402",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C519438
10n,"C1207,C1404,C1408,C1410,C1504,C1508,C1510",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C57112
