Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R910,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,238.252,-137.16,-90.0,top
R911,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,235.204,-137.16,-90.0,top
R912,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,229.87,-131.572,90.0,top
R913,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,260.604,-123.698,-90.0,top
R914,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,229.616,-115.062,-90.0,top
R915,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,235.966,-94.488,-90.0,top
R916,680,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,224.028,-126.238,90.0,top
R917,30K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,229.616,-101.6,-90.0,top
R918,8.2K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,225.298,-109.474,-90.0,top
R919,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,211.328,-108.966,-90.0,top
R920,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,211.328,-122.682,-90.0,top
R921,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,194.056,-108.712,-90.0,top
R922,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,194.056,-122.936,-90.0,top
R923,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,218.186,-130.81,90.0,top
R924,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,215.392,-136.906,-90.0,top
R925,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,208.534,-122.682,-90.0,top
R926,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,194.056,-137.16,90.0,top
R927,75K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,232.664,-93.726,90.0,top
R928,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,243.078,-123.698,-90.0,top
R1201,1M,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,6.604,-48.673,-90.0,top
R1202,200K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,9.652,-52.991,-90.0,top
R1203,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,40.06,-37.37,90.0,top
R1204,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,46.41,-31.655,90.0,top
R1205,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,29.9,-31.655,90.0,top
R1206,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,36.25,-31.655,90.0,top
R1207,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,40.441,-47.5535,-90.0,top
R1208,120K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,48.823,-47.657,-90.0,top
R1209,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,43.235,-47.53,90.0,top
R1210,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,57.459,-47.657,90.0,top
R1211,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,51.617,-47.657,90.0,top
R1212,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,54.411,-47.657,90.0,top
R1213,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,60.507,-47.657,90.0,top
R1214,2.7K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,63.301,-47.657,-90.0,top
R1215,27K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,66.349,-47.657,-90.0,top
R1216,270K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,69.397,-47.657,-90.0,top
R1217,1M,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,72.191,-47.657,-90.0,top
R1218,1.5M,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,55.173,-31.401,-90.0,top
R1219,10M,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,49.585,-31.401,90.0,top
R1220,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,24.185,-50.451,-90.0,top
R1221,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,58.221,-31.401,-90.0,top
R1222,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,12.7,-53.086,90.0,top
R1223,27K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,12.7,-49.53,90.0,top
R1301,1M,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,290.377,-87.281,90.0,top
R1302,1M,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,332.033,-84.0825,90.0,top
R1303,200K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,296.473,-87.281,-90.0,top
R1304,200K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,325.937,-84.0825,90.0,top
